product,date,month,year,value,variable_type,source_file,source_table,source_page
medio_pollo,2017-01-01,1,2017,131.66,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2017-02-01,2,2017,130.485,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2017-03-01,3,2017,121.953,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2017-04-01,4,2017,123.963,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2017-05-01,5,2017,122.846,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2017-06-01,6,2017,126.746,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2017-07-01,7,2017,130.163,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2017-08-01,8,2017,128.388,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2017-09-01,9,2017,136.74,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2017-10-01,10,2017,134.601,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2017-11-01,11,2017,138.999,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2017-12-01,12,2017,137.064,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2018-01-01,1,2018,126.092,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2018-02-01,2,2018,128.87,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2018-03-01,3,2018,125.704,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2018-04-01,4,2018,133.765,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2018-05-01,5,2018,137.389,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2018-06-01,6,2018,141.775,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2018-07-01,7,2018,137.682,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2018-08-01,8,2018,138.701,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2018-09-01,9,2018,143.772,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2018-10-01,10,2018,134.468,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2018-11-01,11,2018,140.107,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2018-12-01,12,2018,141.335,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2019-01-01,1,2019,134.115,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2019-02-01,2,2019,135.908,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2019-03-01,3,2019,129.794,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2019-04-01,4,2019,131.683,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2019-05-01,5,2019,140.61,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2019-06-01,6,2019,147.0,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2019-07-01,7,2019,139.212,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2019-08-01,8,2019,139.891,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2019-09-01,9,2019,149.043,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2019-10-01,10,2019,143.802,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2019-11-01,11,2019,152.613,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2019-12-01,12,2019,149.507,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2020-01-01,1,2020,143.718,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2020-02-01,2,2020,147.147,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2020-03-01,3,2020,137.739,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2020-04-01,4,2020,136.48,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2020-05-01,5,2020,116.093,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2020-06-01,6,2020,102.369,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2020-07-01,7,2020,118.465,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2020-08-01,8,2020,138.649,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2020-09-01,9,2020,143.974,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2020-10-01,10,2020,144.064,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2020-11-01,11,2020,148.785,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2020-12-01,12,2020,142.301,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2021-01-01,1,2021,133.651,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2021-02-01,2,2021,134.213,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2021-03-01,3,2021,129.669,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2021-04-01,4,2021,145.854,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2021-05-01,5,2021,147.161,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2021-06-01,6,2021,128.269,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2021-07-01,7,2021,129.431,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2021-08-01,8,2021,141.918,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2021-09-01,9,2021,150.464,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2021-10-01,10,2021,149.214,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2021-11-01,11,2021,150.819,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2021-12-01,12,2021,153.671,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2022-01-01,1,2022,148.78,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2022-02-01,2,2022,147.753,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2022-03-01,3,2022,139.975,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2022-04-01,4,2022,148.835,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2022-05-01,5,2022,150.382,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2022-06-01,6,2022,152.736,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
