parameter,delta,seed,z_value,gap_percent,service_level,avg_inventory,low_rotation_inventory,elapsed_seconds,n_evaluations,is_feasible,instance_name
prices,-0.2,15,411781441.44272476,25.349386566243343,56.48101833972543,17939.98800711172,571.3854187049747,93.65317153930664,6511,True,medium_seed42_prices_-20%
prices,-0.2,16,411781441.44272476,25.349386566243343,56.48101833972543,17939.98800711172,571.3854187049747,93.22342538833618,5958,True,medium_seed42_prices_-20%
prices,-0.2,17,411781441.44272476,25.349386566243343,56.48101833972543,17939.98800711172,571.3854187049747,79.42842078208923,5347,True,medium_seed42_prices_-20%
prices,-0.2,18,411781441.44272476,25.349386566243343,56.48101833972543,17939.98800711172,571.3854187049747,80.92065906524658,5768,True,medium_seed42_prices_-20%
prices,-0.2,19,411781441.44272476,25.349386566243343,56.48101833972543,17939.98800711172,571.3854187049747,100.73601293563843,6592,True,medium_seed42_prices_-20%
prices,-0.2,20,411781441.44272476,25.349386566243343,56.48101833972543,17939.98800711172,571.3854187049747,103.81351685523987,6474,True,medium_seed42_prices_-20%
prices,-0.2,21,411781441.44272476,25.349386566243343,56.48101833972543,17939.98800711172,571.3854187049747,74.60825490951538,5646,True,medium_seed42_prices_-20%
prices,-0.2,22,411781441.44272476,25.349386566243343,56.48101833972543,17939.98800711172,571.3854187049747,75.60026812553406,5342,True,medium_seed42_prices_-20%
prices,-0.2,23,411781441.44272476,25.349386566243343,56.48101833972543,17939.98800711172,571.3854187049747,68.21704888343811,5848,True,medium_seed42_prices_-20%
prices,-0.2,24,411781441.44272476,25.349386566243343,56.48101833972543,17939.98800711172,571.3854187049747,64.91182470321655,6351,True,medium_seed42_prices_-20%
prices,-0.2,25,411781441.44272476,25.349386566243343,56.48101833972543,17939.98800711172,571.3854187049747,95.21045756340027,5926,True,medium_seed42_prices_-20%
prices,-0.2,26,411781441.44272476,25.349386566243343,56.48101833972543,17939.98800711172,571.3854187049747,98.69491410255432,5767,True,medium_seed42_prices_-20%
prices,-0.2,27,411781441.44272476,25.349386566243343,56.48101833972543,17939.98800711172,571.3854187049747,102.90917444229126,5850,True,medium_seed42_prices_-20%
prices,-0.2,28,411781441.44272476,25.349386566243343,56.48101833972543,17939.98800711172,571.3854187049747,92.3684630393982,5344,True,medium_seed42_prices_-20%
prices,-0.2,29,411781441.44272476,25.349386566243343,56.48101833972543,17939.98800711172,571.3854187049747,103.9835958480835,5960,True,medium_seed42_prices_-20%
prices,-0.2,30,411781441.44272476,25.349386566243343,56.48101833972543,17939.98800711172,571.3854187049747,88.7550778388977,5649,True,medium_seed42_prices_-20%
prices,-0.1,1,481696519.56327707,12.67469328312171,56.48101833972543,17939.98800711172,571.3854187049747,82.68346118927002,5260,True,medium_seed42_prices_-10%
prices,-0.1,2,481696519.56327707,12.67469328312171,56.48101833972543,17939.98800711172,571.3854187049747,203.94754576683044,5765,True,medium_seed42_prices_-10%
prices,-0.1,3,481696519.56327707,12.67469328312171,56.48101833972543,17939.98800711172,571.3854187049747,334.83598375320435,6354,True,medium_seed42_prices_-10%
prices,-0.1,4,481696519.56327707,12.67469328312171,56.48101833972543,17939.98800711172,571.3854187049747,358.5346648693085,6973,True,medium_seed42_prices_-10%
prices,-0.1,5,481696519.56327707,12.67469328312171,56.48101833972543,17939.98800711172,571.3854187049747,319.87861824035645,6272,True,medium_seed42_prices_-10%
prices,-0.1,6,481696519.56327707,12.67469328312171,56.48101833972543,17939.98800711172,571.3854187049747,282.3138995170593,5963,True,medium_seed42_prices_-10%
prices,-0.1,7,481696519.56327707,12.67469328312171,56.48101833972543,17939.98800711172,571.3854187049747,266.5238378047943,5256,True,medium_seed42_prices_-10%
prices,-0.1,8,481696519.56327707,12.67469328312171,56.48101833972543,17939.98800711172,571.3854187049747,334.9920918941498,6311,True,medium_seed42_prices_-10%
prices,-0.1,9,481696519.56327707,12.67469328312171,56.48101833972543,17939.98800711172,571.3854187049747,385.61798119544983,6967,True,medium_seed42_prices_-10%
prices,-0.1,10,481696519.56327707,12.67469328312171,56.48101833972543,17939.98800711172,571.3854187049747,321.17218232154846,5729,True,medium_seed42_prices_-10%
prices,-0.1,11,481696519.56327707,12.67469328312171,56.48101833972543,17939.98800711172,571.3854187049747,421.6655783653259,8136,True,medium_seed42_prices_-10%
prices,-0.1,12,481696519.56327707,12.67469328312171,56.48101833972543,17939.98800711172,571.3854187049747,326.20507311820984,6350,True,medium_seed42_prices_-10%
prices,-0.1,13,481696519.56327707,12.67469328312171,56.48101833972543,17939.98800711172,571.3854187049747,257.558390378952,5336,True,medium_seed42_prices_-10%
prices,-0.1,14,481696519.56327707,12.67469328312171,56.48101833972543,17939.98800711172,571.3854187049747,305.3556065559387,6466,True,medium_seed42_prices_-10%
