algorithm,size_profile,instance_seed,run_seed,z_stable,service_stable,low_rotation_stable,elapsed_stable,z_seasonal,service_seasonal,low_rotation_seasonal,elapsed_seasonal,delta_z_pct,delta_service_pp,delta_low_rotation_pct,delta_elapsed_pct
de,small,42,5,552277686.7837336,56.4843758197804,491.17381517409456,202.1818206310272,628998735.6385002,64.61105927248101,0.0,182.36439061164856,13.891752408387594,8.126683452700618,-100.0,-9.80178631171027
ga,medium,42,1,551611597.6838298,56.48101833972543,571.3854187049747,297.72983741760254,629260930.8883402,64.65504296253151,0.0,568.8820140361786,14.07681302034863,8.17402462280608,-100.0,91.07322899526928
ga,medium,42,2,551611597.6838298,56.48101833972543,571.3854187049747,298.3967034816742,629260930.8883402,64.65504296253151,0.0,475.1696031093597,14.07681302034863,8.17402462280608,-100.0,59.2409023173213
ga,medium,42,3,551611597.6838298,56.48101833972543,571.3854187049747,337.1019415855408,629260930.8883402,64.65504296253151,0.0,624.008574962616,14.07681302034863,8.17402462280608,-100.0,85.10975404876793
ga,medium,42,4,551611597.6838298,56.48101833972543,571.3854187049747,419.7211408615112,629260930.8883402,64.65504296253151,0.0,628.4787425994873,14.07681302034863,8.17402462280608,-100.0,49.73721392958298
ga,medium,42,5,551611597.6838298,56.48101833972543,571.3854187049747,530.7868649959564,629260930.8883402,64.65504296253151,0.0,621.9411039352417,14.07681302034863,8.17402462280608,-100.0,17.1734164785671
ga,small,42,1,552277686.7837336,56.4843758197804,491.17381517409456,79.96315956115723,628998735.6385002,64.61105927248101,0.0,102.2871913909912,13.891752408387594,8.126683452700618,-100.0,27.91789613160565
ga,small,42,2,552277686.7837336,56.4843758197804,491.17381517409456,90.50152254104614,628998735.6385002,64.61105927248101,0.0,95.7614438533783,13.891752408387594,8.126683452700618,-100.0,5.811969969838423
ga,small,42,3,552277686.7837336,56.4843758197804,491.17381517409456,76.34074068069458,628998735.6385002,64.61105927248101,0.0,107.00446271896362,13.891752408387594,8.126683452700618,-100.0,40.166917120341004
ga,small,42,4,552277686.7837336,56.4843758197804,491.17381517409456,85.9828519821167,628998735.6385002,64.61105927248101,0.0,90.82123374938963,13.891752408387594,8.126683452700618,-100.0,5.627147338959232
ga,small,42,5,552277686.7837336,56.4843758197804,491.17381517409456,83.12668585777283,628998735.6385002,64.61105927248101,0.0,95.11187481880188,13.891752408387594,8.126683452700618,-100.0,14.417980023328896
ga_sa,medium,42,1,551611597.6838298,56.48101833972543,571.3854187049747,608.9608845710754,629260930.8883402,64.65504296253151,0.0,601.7295844554901,14.07681302034863,8.17402462280608,-100.0,-1.187481872613005
ga_sa,medium,42,2,551611597.6838298,56.48101833972543,571.3854187049747,681.5592269897461,629260930.8883402,64.65504296253151,0.0,473.3803560733795,14.07681302034863,8.17402462280608,-100.0,-30.544501882225795
ga_sa,medium,42,3,551611597.6838298,56.48101833972543,571.3854187049747,682.6206789016724,629260930.8883402,64.65504296253151,0.0,501.3129894733429,14.07681302034863,8.17402462280608,-100.0,-26.56053281597785
ga_sa,medium,42,4,551611597.6838298,56.48101833972543,571.3854187049747,710.7272562980652,629260930.8883402,64.65504296253151,0.0,423.87857580184937,14.07681302034863,8.17402462280608,-100.0,-40.35988179070441
