algorithm,instance,seed,size_profile,demand_profile,instance_seed,run_seed,z_value,gap_percent,service_level,avg_inventory,low_rotation_inventory,elapsed_seconds,n_evaluations,is_feasible
ga,small_stable_seed42,1,small,stable,42,1,552277686.7837336,,56.4843758197804,17821.311832720072,491.17381517409456,79.96315956115723,7867,True
ga,small_stable_seed42,2,small,stable,42,2,552277686.7837336,,56.4843758197804,17821.311832720072,491.17381517409456,90.50152254104614,8676,True
ga,small_stable_seed42,3,small,stable,42,3,552277686.7837336,,56.4843758197804,17821.311832720072,491.17381517409456,76.34074068069458,7394,True
ga,small_stable_seed42,4,small,stable,42,4,552277686.7837336,,56.4843758197804,17821.311832720072,491.17381517409456,85.9828519821167,8347,True
ga,small_stable_seed42,5,small,stable,42,5,552277686.7837336,,56.4843758197804,17821.311832720072,491.17381517409456,83.12668585777283,7872,True
ga_sa,medium_seasonal_seed42,1,medium,seasonal,42,1,629260930.8883402,,64.65504296253151,19558.75971925111,0.0,601.7295844554901,5105,True
ga_sa,medium_seasonal_seed42,2,medium,seasonal,42,2,629260930.8883402,,64.65504296253151,19558.75971925111,0.0,473.3803560733795,5067,True
ga_sa,medium_seasonal_seed42,3,medium,seasonal,42,3,629260930.8883402,,64.65504296253151,19558.75971925111,0.0,501.3129894733429,5694,True
ga_sa,medium_seasonal_seed42,4,medium,seasonal,42,4,629260930.8883402,,64.65504296253151,19558.75971925111,0.0,423.87857580184937,5767,True
ga_sa,medium_seasonal_seed42,5,medium,seasonal,42,5,629260930.8883402,,64.65504296253151,19558.75971925111,0.0,517.912887096405,5727,True
ga_sa,medium_stable_seed42,1,medium,stable,42,1,551611597.6838298,,56.48101833972543,17939.98800711172,571.3854187049747,608.9608845710754,4600,True
ga_sa,medium_stable_seed42,2,medium,stable,42,2,551611597.6838298,,56.48101833972543,17939.98800711172,571.3854187049747,681.5592269897461,5067,True
ga_sa,medium_stable_seed42,3,medium,stable,42,3,551611597.6838298,,56.48101833972543,17939.98800711172,571.3854187049747,682.6206789016724,5694,True
ga_sa,medium_stable_seed42,4,medium,stable,42,4,551611597.6838298,,56.48101833972543,17939.98800711172,571.3854187049747,710.7272562980652,6313,True
ga_sa,medium_stable_seed42,5,medium,stable,42,5,551611597.6838298,,56.48101833972543,17939.98800711172,571.3854187049747,609.0934834480286,5342,True
ga_sa,small_seasonal_seed42,1,small,seasonal,42,1,628998735.6385002,,64.61105927248101,19525.967677061817,0.0,288.7651653289795,5105,True
ga_sa,small_seasonal_seed42,2,small,seasonal,42,2,628998735.6385002,,64.61105927248101,19525.967677061817,0.0,263.4031388759613,4520,True
ga_sa,small_seasonal_seed42,3,small,seasonal,42,3,628998735.6385002,,64.61105927248101,19525.967677061817,0.0,286.6311709880829,5694,True
ga_sa,small_seasonal_seed42,4,small,seasonal,42,4,628998735.6385002,,64.61105927248101,19525.967677061817,0.0,289.008734703064,5186,True
ga_sa,small_seasonal_seed42,5,small,seasonal,42,5,628998735.6385002,,64.61105927248101,19525.967677061817,0.0,366.8076527118683,5267,True
ga_sa,small_stable_seed42,1,small,stable,42,1,552277686.7837336,,56.4843758197804,17821.311832720072,491.17381517409456,138.36932373046875,4716,True
ga_sa,small_stable_seed42,2,small,stable,42,2,552277686.7837336,,56.4843758197804,17821.311832720072,491.17381517409456,164.06068015098572,5067,True
ga_sa,small_stable_seed42,3,small,stable,42,3,552277686.7837336,,56.4843758197804,17821.311832720072,491.17381517409456,190.6720051765442,5694,True
ga_sa,small_stable_seed42,4,small,stable,42,4,552277686.7837336,,56.4843758197804,17821.311832720072,491.17381517409456,184.89765906333923,5730,True
ga_sa,small_stable_seed42,5,small,stable,42,5,552277686.7837336,,56.4843758197804,17821.311832720072,491.17381517409456,329.5237708091736,5342,True
sa,medium_seasonal_seed42,1,medium,seasonal,42,1,594191634.9100871,,62.77657830562712,18142.81374413819,0.0,56.67153096199036,788,True
sa,medium_seasonal_seed42,2,medium,seasonal,42,2,603402768.9823375,,63.26570702371584,18557.79567190393,0.0,70.23522138595581,771,True
sa,medium_seasonal_seed42,3,medium,seasonal,42,3,613745193.7026081,,63.809069234564674,18836.336798681317,0.0,56.39232802391052,801,True
