algorithm,tau,rho,n_cases
sa,8.246862041120817,1.0,270
sa,8.355024161137546,1.0,270
sa,8.463186281154275,1.0,270
sa,8.571348401171004,1.0,270
sa,8.679510521187733,1.0,270
sa,8.787672641204463,1.0,270
sa,8.89583476122119,1.0,270
sa,9.003996881237919,1.0,270
sa,9.112159001254648,1.0,270
sa,9.220321121271375,1.0,270
sa,9.328483241288104,1.0,270
sa,9.436645361304834,1.0,270
sa,9.544807481321563,1.0,270
sa,9.65296960133829,1.0,270
sa,9.761131721355019,1.0,270
sa,9.869293841371748,1.0,270
sa,9.977455961388477,1.0,270
sa,10.085618081405205,1.0,270
sa,10.193780201421934,1.0,270
sa,10.301942321438663,1.0,270
sa,10.410104441455392,1.0,270
sa,10.51826656147212,1.0,270
sa,10.626428681488848,1.0,270
sa,10.734590801505577,1.0,270
sa,10.842752921522306,1.0,270
sa,10.950915041539034,1.0,270
sa,11.059077161555763,1.0,270
sa,11.167239281572492,1.0,270
sa,11.275401401589221,1.0,270
sa,11.383563521605948,1.0,270
sa,11.491725641622677,1.0,270
sa,11.599887761639406,1.0,270
sa,11.708049881656134,1.0,270
sa,11.816212001672863,1.0,270
sa,11.924374121689592,1.0,270
sa,12.032536241706321,1.0,270
sa,12.140698361723048,1.0,270
sa,12.248860481739777,1.0,270
sa,12.357022601756507,1.0,270
sa,12.465184721773236,1.0,270
sa,12.573346841789963,1.0,270
sa,12.681508961806692,1.0,270
sa,12.789671081823421,1.0,270
sa,12.89783320184015,1.0,270
sa,13.005995321856878,1.0,270
sa,13.114157441873607,1.0,270
sa,13.222319561890336,1.0,270
sa,13.330481681907065,1.0,270
sa,13.438643801923792,1.0,270
sa,13.546805921940521,1.0,270
sa,13.65496804195725,1.0,270
sa,13.76313016197398,1.0,270
sa,13.871292281990707,1.0,270
sa,13.979454402007436,1.0,270
sa,14.087616522024165,1.0,270
sa,14.195778642040894,1.0,270
sa,14.303940762057621,1.0,270
sa,14.41210288207435,1.0,270
sa,14.52026500209108,1.0,270
sa,14.628427122107809,1.0,270
sa,14.736589242124536,1.0,270
sa,14.844751362141265,1.0,270
sa,14.952913482157994,1.0,270
sa,15.061075602174721,1.0,270
sa,15.16923772219145,1.0,270
sa,15.27739984220818,1.0,270
sa,15.385561962224909,1.0,270
sa,15.493724082241636,1.0,270
sa,15.601886202258365,1.0,270
sa,15.710048322275094,1.0,270
sa,15.818210442291823,1.0,270
sa,15.92637256230855,1.0,270
sa,16.03453468232528,1.0,270
sa,16.14269680234201,1.0,270
sa,16.250858922358738,1.0,270
sa,16.359021042375467,1.0,270
sa,16.467183162392196,1.0,270
sa,16.575345282408925,1.0,270
sa,16.683507402425654,1.0,270
sa,16.79166952244238,1.0,270
sa,16.89983164245911,1.0,270
sa,17.007993762475838,1.0,270
sa,17.116155882492567,1.0,270
sa,17.224318002509296,1.0,270
sa,17.332480122526025,1.0,270
sa,17.44064224254275,1.0,270
sa,17.54880436255948,1.0,270
sa,17.65696648257621,1.0,270
sa,17.765128602592938,1.0,270
sa,17.873290722609667,1.0,270
sa,17.981452842626396,1.0,270
sa,18.089614962643125,1.0,270
sa,18.197777082659854,1.0,270
sa,18.30593920267658,1.0,270
sa,18.41410132269331,1.0,270
sa,18.522263442710038,1.0,270
sa,18.630425562726767,1.0,270
sa,18.738587682743496,1.0,270
sa,18.846749802760225,1.0,270
sa,18.954911922776954,1.0,270
sa,19.06307404279368,1.0,270
sa,19.17123616281041,1.0,270
sa,19.279398282827138,1.0,270
sa,19.387560402843867,1.0,270
sa,19.495722522860596,1.0,270
sa,19.603884642877325,1.0,270
sa,19.712046762894055,1.0,270
sa,19.820208882910784,1.0,270
sa,19.92837100292751,1.0,270
sa,20.03653312294424,1.0,270
sa,20.144695242960967,1.0,270
sa,20.252857362977696,1.0,270
sa,20.361019482994426,1.0,270
sa,20.469181603011155,1.0,270
sa,20.577343723027884,1.0,270
sa,20.685505843044613,1.0,270
sa,20.79366796306134,1.0,270
sa,20.901830083078067,1.0,270
sa,21.009992203094797,1.0,270
sa,21.118154323111526,1.0,270
sa,21.226316443128255,1.0,270
sa,21.334478563144984,1.0,270
sa,21.442640683161713,1.0,270
sa,21.550802803178442,1.0,270
sa,21.658964923195168,1.0,270
sa,21.767127043211897,1.0,270
sa,21.875289163228626,1.0,270
sa,21.983451283245355,1.0,270
sa,22.091613403262084,1.0,270
sa,22.199775523278813,1.0,270
sa,22.307937643295542,1.0,270
sa,22.416099763312268,1.0,270
sa,22.524261883328997,1.0,270
de,1.0,0.0,270
de,1.1081621200167286,0.0,270
de,1.2163242400334573,0.0,270
de,1.324486360050186,0.0,270
de,1.4326484800669146,0.0,270
de,1.5408106000836432,0.0,270
de,1.6489727201003719,0.0,270
de,1.7571348401171005,0.0,270
de,1.8652969601338292,0.0,270
de,1.9734590801505578,0.0,270
de,2.0816212001672865,0.0,270
de,2.1897833201840147,0.0,270
de,2.2979454402007438,0.003703703703703704,270
de,2.406107560217472,0.003703703703703704,270
de,2.514269680234201,0.003703703703703704,270
de,2.6224318002509293,0.007407407407407408,270
de,2.7305939202676583,0.014814814814814815,270
de,2.8387560402843866,0.018518518518518517,270
de,2.9469181603011156,0.025925925925925925,270
de,3.055080280317844,0.025925925925925925,270
de,3.1632424003345725,0.02962962962962963,270
de,3.271404520351301,0.037037037037037035,270
de,3.37956664036803,0.044444444444444446,270
de,3.4877287603847584,0.05555555555555555,270
de,3.595890880401487,0.07407407407407407,270
de,3.7040530004182157,0.07777777777777778,270
de,3.8122151204349444,0.08148148148148149,270
de,3.920377240451673,0.08148148148148149,270
de,4.028539360468402,0.08148148148148149,270
de,4.13670148048513,0.08148148148148149,270
de,4.2448636005018585,0.09259259259259259,270
de,4.353025720518588,0.1,270
de,4.461187840535317,0.1037037037037037,270
de,4.569349960552045,0.10740740740740741,270
de,4.677512080568773,0.1111111111111111,270
de,4.785674200585502,0.1111111111111111,270
de,4.893836320602231,0.1259259259259259,270
de,5.0019984406189595,0.13333333333333333,270
de,5.110160560635688,0.14444444444444443,270
de,5.218322680652417,0.14814814814814814,270
de,5.326484800669145,0.16296296296296298,270
de,5.434646920685874,0.17037037037037037,270
de,5.542809040702602,0.1814814814814815,270
de,5.650971160719331,0.18888888888888888,270
de,5.75913328073606,0.2037037037037037,270
de,5.867295400752789,0.21481481481481482,270
de,5.975457520769517,0.21851851851851853,270
de,6.083619640786246,0.23333333333333334,270
de,6.191781760802974,0.24444444444444444,270
de,6.299943880819703,0.25925925925925924,270
de,6.4081060008364314,0.26666666666666666,270
de,6.5162681208531605,0.2814814814814815,270
de,6.624430240869889,0.2814814814814815,270
de,6.732592360886618,0.28888888888888886,270
de,6.840754480903346,0.28888888888888886,270
de,6.948916600920075,0.28888888888888886,270
de,7.057078720936803,0.3074074074074074,270
de,7.165240840953532,0.31851851851851853,270
de,7.273402960970261,0.31851851851851853,270
de,7.38156508098699,0.3296296296296296,270
de,7.489727201003718,0.34074074074074073,270
de,7.597889321020447,0.3592592592592593,270
de,7.706051441037175,0.37407407407407406,270
de,7.814213561053904,0.37777777777777777,270
de,7.9223756810706325,0.3962962962962963,270
de,8.03053780108736,0.40370370370370373,270
de,8.13869992110409,0.4111111111111111,270
de,8.246862041120817,0.42962962962962964,270
de,8.355024161137546,0.43703703703703706,270
de,8.463186281154275,0.44814814814814813,270
de,8.571348401171004,0.44814814814814813,270
de,8.679510521187733,0.46296296296296297,270
de,8.787672641204463,0.48148148148148145,270
de,8.89583476122119,0.48148148148148145,270
de,9.003996881237919,0.4888888888888889,270
de,9.112159001254648,0.5,270
de,9.220321121271375,0.5111111111111111,270
de,9.328483241288104,0.5259259259259259,270
de,9.436645361304834,0.5259259259259259,270
de,9.544807481321563,0.5333333333333333,270
de,9.65296960133829,0.5407407407407407,270
de,9.761131721355019,0.5518518518518518,270
de,9.869293841371748,0.5555555555555556,270
de,9.977455961388477,0.5592592592592592,270
de,10.085618081405205,0.5703703703703704,270
de,10.193780201421934,0.5777777777777777,270
de,10.301942321438663,0.5888888888888889,270
de,10.410104441455392,0.5888888888888889,270
de,10.51826656147212,0.5962962962962963,270
de,10.626428681488848,0.6074074074074074,270
de,10.734590801505577,0.6148148148148148,270
de,10.842752921522306,0.6185185185185185,270
de,10.950915041539034,0.6185185185185185,270
de,11.059077161555763,0.6296296296296297,270
de,11.167239281572492,0.6296296296296297,270
de,11.275401401589221,0.6407407407407407,270
de,11.383563521605948,0.6518518518518519,270
de,11.491725641622677,0.6592592592592592,270
de,11.599887761639406,0.6666666666666666,270
de,11.708049881656134,0.6851851851851852,270
de,11.816212001672863,0.7074074074074074,270
de,11.924374121689592,0.737037037037037,270
de,12.032536241706321,0.7407407407407407,270
de,12.140698361723048,0.7444444444444445,270
de,12.248860481739777,0.7518518518518519,270
de,12.357022601756507,0.7592592592592593,270
de,12.465184721773236,0.762962962962963,270
de,12.573346841789963,0.7666666666666667,270
de,12.681508961806692,0.774074074074074,270
de,12.789671081823421,0.7851851851851852,270
de,12.89783320184015,0.7888888888888889,270
de,13.005995321856878,0.7888888888888889,270
de,13.114157441873607,0.7925925925925926,270
de,13.222319561890336,0.8,270
de,13.330481681907065,0.8037037037037037,270
de,13.438643801923792,0.8037037037037037,270
de,13.546805921940521,0.8148148148148148,270
de,13.65496804195725,0.8148148148148148,270
de,13.76313016197398,0.8222222222222222,270
de,13.871292281990707,0.8222222222222222,270
de,13.979454402007436,0.825925925925926,270
de,14.087616522024165,0.825925925925926,270
de,14.195778642040894,0.8296296296296296,270
de,14.303940762057621,0.837037037037037,270
de,14.41210288207435,0.8407407407407408,270
de,14.52026500209108,0.8407407407407408,270
de,14.628427122107809,0.8444444444444444,270
de,14.736589242124536,0.8518518518518519,270
de,14.844751362141265,0.8555555555555555,270
de,14.952913482157994,0.8592592592592593,270
de,15.061075602174721,0.8629629629629629,270
de,15.16923772219145,0.8629629629629629,270
de,15.27739984220818,0.8666666666666667,270
de,15.385561962224909,0.8666666666666667,270
de,15.493724082241636,0.8666666666666667,270
de,15.601886202258365,0.8703703703703703,270
de,15.710048322275094,0.8740740740740741,270
de,15.818210442291823,0.8777777777777778,270
de,15.92637256230855,0.8777777777777778,270
de,16.03453468232528,0.8777777777777778,270
de,16.14269680234201,0.8814814814814815,270
de,16.250858922358738,0.8814814814814815,270
de,16.359021042375467,0.8814814814814815,270
de,16.467183162392196,0.8851851851851852,270
de,16.575345282408925,0.8851851851851852,270
de,16.683507402425654,0.8888888888888888,270
de,16.79166952244238,0.8888888888888888,270
de,16.89983164245911,0.8888888888888888,270
de,17.007993762475838,0.8925925925925926,270
de,17.116155882492567,0.8925925925925926,270
de,17.224318002509296,0.8925925925925926,270
de,17.332480122526025,0.8925925925925926,270
de,17.44064224254275,0.8925925925925926,270
de,17.54880436255948,0.8925925925925926,270
de,17.65696648257621,0.8962962962962963,270
de,17.765128602592938,0.9,270
