algorithm,instance,seed,z_value,gap_percent,service_level,avg_inventory,low_rotation_inventory,elapsed_seconds,n_evaluations,is_feasible,size,complexity,case_id
de,large_seed123,12,1636577634.7057798,17.433467720362987,66.46089654292498,73480.75595481004,0.0,429.9514918327332,10775,True,large,19200,large_seed123_s12
de,large_seed123,13,1635234314.9481196,17.501239179400834,66.50419004014556,74060.878154002,0.0,450.28697538375854,10693,True,large,19200,large_seed123_s13
de,large_seed123,14,1634361027.071504,17.54529718809223,66.6912228319312,75615.72812709017,0.0,627.0907924175262,10817,True,large,19200,large_seed123_s14
de,large_seed123,15,1616523999.568668,18.44518820203148,64.93581545969404,66841.20385508097,0.0,448.86404943466187,10688,True,large,19200,large_seed123_s15
de,large_seed123,16,1634276297.1438456,17.54957187458354,66.46382332092601,73975.4226370424,0.0,422.887832403183,10560,True,large,19200,large_seed123_s16
de,large_seed123,17,1632722300.5519607,17.627972133175227,66.60661398914519,75429.51078250157,0.0,434.4375293254852,10794,True,large,19200,large_seed123_s17
de,large_seed123,18,1632317530.5326958,17.64839307511696,66.46316498833703,74479.68729661402,0.0,422.19919061660767,10645,True,large,19200,large_seed123_s18
de,large_seed123,19,1636254484.2032683,17.449770898306387,66.30353224704547,72431.70609121124,0.0,428.6192209720612,10696,True,large,19200,large_seed123_s19
de,large_seed123,20,1635183977.819052,17.503778724182514,66.44474598170375,73633.02098164815,0.0,429.0648355484009,10735,True,large,19200,large_seed123_s20
de,large_seed123,21,1636563910.3224463,17.434160125486635,66.66943383034675,74969.61794223674,0.0,433.5618011951447,10823,True,large,19200,large_seed123_s21
de,large_seed123,22,1634792022.599328,17.523553150164652,66.54685516389569,74467.61017211758,0.0,433.07781291008,10849,True,large,19200,large_seed123_s22
de,large_seed123,23,1634114395.787001,17.55773991581944,66.48802658839762,74284.32092253643,0.0,427.0226149559021,10767,True,large,19200,large_seed123_s23
de,large_seed123,24,1636598808.3408933,17.432399495067713,66.35846695990774,72693.05856145748,0.0,422.03260684013367,10587,True,large,19200,large_seed123_s24
de,large_seed123,25,1626841852.8359892,17.924644998466317,65.52762282370385,68936.32075021227,0.0,432.5258719921112,10758,True,large,19200,large_seed123_s25
de,large_seed123,26,1632309815.788421,17.648782289578097,66.46910437348616,74520.2264466296,0.0,428.0642466545105,10773,True,large,19200,large_seed123_s26
de,large_seed123,27,1617366979.6611297,18.40265924309955,65.21520988736941,68681.28908380249,0.0,423.112649679184,10642,True,large,19200,large_seed123_s27
de,large_seed123,28,1612794826.0422778,18.633327719408182,65.21259587260704,69347.82865910951,0.0,423.25228548049927,10624,True,large,19200,large_seed123_s28
de,large_seed123,29,1619017070.6795864,18.31941095077869,65.72217805792582,71863.83830322884,0.0,427.29493379592896,10715,True,large,19200,large_seed123_s29
de,large_seed123,30,1622458785.209834,18.145773948883527,65.38762242275317,68834.20102999151,0.0,423.7682960033417,10694,True,large,19200,large_seed123_s30
de,large_seed456,1,1644025103.803436,17.516408354603172,66.62806983986742,72312.35567418218,0.0,427.992290019989,10733,True,large,19200,large_seed456_s1
de,large_seed456,2,1643929673.769983,17.52119624494124,66.77525369746567,73327.52155251577,0.0,419.33734011650085,10582,True,large,19200,large_seed456_s2
de,large_seed456,3,1638309504.286839,17.803169898234675,65.83632146995187,67895.42731198146,0.0,478.2068641185761,10576,True,large,19200,large_seed456_s3
de,large_seed456,4,1642091514.569455,17.61341988101883,66.17258773541013,69526.78576628775,0.0,667.1565673351288,10683,True,large,19200,large_seed456_s4
de,large_seed456,5,1645364299.7908096,17.44921856857124,66.83827238812134,73491.82355268877,0.0,585.2496638298035,10575,True,large,19200,large_seed456_s5
de,large_seed456,6,1645272656.3287983,17.45381648005082,66.8149408877909,73355.03935144898,0.0,701.9380815029144,10646,True,large,19200,large_seed456_s6
de,large_seed456,7,1635771059.2339077,17.93052809043982,65.67625025548152,67269.3747871506,0.0,746.9812848567963,10859,True,large,19200,large_seed456_s7
de,large_seed456,8,1646098991.9715924,17.412357787258014,66.84846592798445,73370.5770668669,0.0,641.6959590911865,10592,True,large,19200,large_seed456_s8
de,large_seed456,9,1609616980.241227,19.24272360771195,65.55565216405881,72028.34766687133,0.0,1050.7633185386658,10565,True,large,19200,large_seed456_s9
de,large_seed456,10,1643313096.8555431,17.55213097842614,66.71215537934614,73061.02720332623,0.0,2374.9263186454773,10701,True,large,19200,large_seed456_s10
de,large_seed456,11,1644670001.6878514,17.484052708921098,66.8187886673396,73564.36736798189,0.0,1218.9532568454742,10606,True,large,19200,large_seed456_s11
de,large_seed456,12,1647765154.44554,17.328763525346787,66.94818893690758,73767.14363896892,0.0,523.3125035762787,10701,True,large,19200,large_seed456_s12
de,large_seed456,13,1645329584.1265802,17.450960313673168,66.78108623464337,73108.5641633968,0.0,507.949474811554,10707,True,large,19200,large_seed456_s13
de,large_seed456,14,1645470948.9102426,17.44386779722578,67.09891821019764,75295.89371058186,0.0,726.8541765213013,10791,True,large,19200,large_seed456_s14
de,large_seed456,15,1627983323.6812255,18.32125229391072,65.62754624766484,68559.90727093095,0.0,660.4962973594666,10628,True,large,19200,large_seed456_s15
de,large_seed456,16,1645643927.6904726,17.435189151724074,66.8112993109933,73223.24499549801,0.0,696.1904256343842,10722,True,large,19200,large_seed456_s16
de,large_seed456,17,1642200327.8190415,17.607960531509047,66.31280957292745,70361.46245238779,0.0,783.2782113552094,10829,True,large,19200,large_seed456_s17
de,large_seed456,18,1643547315.1451874,17.540379840493873,66.53670952614364,71776.48152568388,0.0,480.3083007335663,10626,True,large,19200,large_seed456_s18
de,large_seed456,19,1645453316.1889446,17.444752461443972,66.74045826688041,72760.47815451329,0.0,467.1472380161285,10645,True,large,19200,large_seed456_s19
de,large_seed456,20,1643090105.6466956,17.563318834237187,67.15344046679569,76215.29474938016,0.0,780.9218895435333,10624,True,large,19200,large_seed456_s20
de,large_seed456,21,1619580152.633838,18.74285396385822,65.54720180559555,69860.81834127809,0.0,555.6562309265137,10662,True,large,19200,large_seed456_s21
de,large_seed456,22,1647475277.2255423,17.34330716837648,66.80759854135219,72781.93923853594,0.0,799.8220524787903,10753,True,large,19200,large_seed456_s22
de,large_seed456,23,1644037283.5918913,17.51579727348589,66.57782885628227,71928.74910164649,0.0,462.14473605155945,10747,True,large,19200,large_seed456_s23
de,large_seed456,24,1645224526.730193,17.456231225511992,66.77427625146439,73135.29710890233,0.0,455.3984832763672,10630,True,large,19200,large_seed456_s24
de,large_seed456,25,1646853296.5507116,17.374513017895072,67.32825407498717,76646.9717203208,0.0,475.46816396713257,10679,True,large,19200,large_seed456_s25
de,large_seed456,26,1646425601.809779,17.39597120504706,66.95879744867568,74122.63409182192,0.0,472.05852460861206,10818,True,large,19200,large_seed456_s26
de,large_seed456,27,1646550103.0730853,17.389724760672127,66.84827031560339,73326.38054744195,0.0,461.4773037433624,10663,True,large,19200,large_seed456_s27
de,large_seed456,28,1642768661.218555,17.579446258864763,66.85468262175944,73839.74134001529,0.0,460.1892533302307,10654,True,large,19200,large_seed456_s28
de,large_seed456,29,1646106355.311958,17.41198835569735,66.74189397368932,72601.72613398448,0.0,479.9150025844574,10826,True,large,19200,large_seed456_s29
de,large_seed456,30,1632690211.3437858,18.085099573991062,65.46536704839129,66392.27075272065,0.0,572.1605100631714,10671,True,large,19200,large_seed456_s30
ga_sa,small_seed42,1,552277686.7837336,3.369528549901049,56.4843758197804,17821.311832720072,491.17381517409456,33.47054433822632,5646,True,small,1440,small_seed42_s1
ga_sa,small_seed42,2,552277686.7837336,3.369528549901049,56.4843758197804,17821.311832720072,491.17381517409456,27.549961805343628,5727,True,small,1440,small_seed42_s2
ga_sa,small_seed42,3,552277686.7837336,3.369528549901049,56.4843758197804,17821.311832720072,491.17381517409456,27.78976249694824,6354,True,small,1440,small_seed42_s3
ga_sa,small_seed42,4,552277686.7837336,3.369528549901049,56.4843758197804,17821.311832720072,491.17381517409456,29.956857204437256,6390,True,small,1440,small_seed42_s4
ga_sa,small_seed42,5,552277686.7837336,3.369528549901049,56.4843758197804,17821.311832720072,491.17381517409456,28.846835374832157,6272,True,small,1440,small_seed42_s5
ga_sa,small_seed42,6,552277686.7837336,3.369528549901049,56.4843758197804,17821.311832720072,491.17381517409456,36.35419273376465,5963,True,small,1440,small_seed42_s6
ga_sa,small_seed42,7,552277686.7837336,3.369528549901049,56.4843758197804,17821.311832720072,491.17381517409456,37.56378173828125,6274,True,small,1440,small_seed42_s7
ga_sa,small_seed42,8,552277686.7837336,3.369528549901049,56.4843758197804,17821.311832720072,491.17381517409456,35.043493032455444,5649,True,small,1440,small_seed42_s8
ga_sa,small_seed42,9,552277686.7837336,3.369528549901049,56.4843758197804,17821.311832720072,491.17381517409456,41.22394490242005,6969,True,small,1440,small_seed42_s9
ga_sa,small_seed42,10,552277686.7837336,3.369528549901049,56.4843758197804,17821.311832720072,491.17381517409456,33.45944571495056,5847,True,small,1440,small_seed42_s10
ga_sa,small_seed42,11,552277686.7837336,3.369528549901049,56.4843758197804,17821.311832720072,491.17381517409456,39.2387444972992,8136,True,small,1440,small_seed42_s11
ga_sa,small_seed42,12,552277686.7837336,3.369528549901049,56.4843758197804,17821.311832720072,491.17381517409456,26.795305728912357,5731,True,small,1440,small_seed42_s12
ga_sa,small_seed42,13,552277686.7837336,3.369528549901049,56.4843758197804,17821.311832720072,491.17381517409456,32.34642672538757,5884,True,small,1440,small_seed42_s13
ga_sa,small_seed42,14,552277686.7837336,3.369528549901049,56.4843758197804,17821.311832720072,491.17381517409456,29.143415212631226,6466,True,small,1440,small_seed42_s14
ga_sa,small_seed42,15,552277686.7837336,3.369528549901049,56.4843758197804,17821.311832720072,491.17381517409456,34.9126935005188,6353,True,small,1440,small_seed42_s15
ga_sa,small_seed42,16,552277686.7837336,3.369528549901049,56.4843758197804,17821.311832720072,491.17381517409456,40.026611328125,5958,True,small,1440,small_seed42_s16
ga_sa,small_seed42,17,552277686.7837336,3.369528549901049,56.4843758197804,17821.311832720072,491.17381517409456,36.049262285232544,5691,True,small,1440,small_seed42_s17
ga_sa,small_seed42,18,552277686.7837336,3.369528549901049,56.4843758197804,17821.311832720072,491.17381517409456,40.60111856460571,5800,True,small,1440,small_seed42_s18
ga_sa,small_seed42,19,552277686.7837336,3.369528549901049,56.4843758197804,17821.311832720072,491.17381517409456,37.55198884010315,5305,True,small,1440,small_seed42_s19
ga_sa,small_seed42,20,552277686.7837336,3.369528549901049,56.4843758197804,17821.311832720072,491.17381517409456,50.4988214969635,6974,True,small,1440,small_seed42_s20
ga_sa,small_seed42,21,552277686.7837336,3.369528549901049,56.4843758197804,17821.311832720072,491.17381517409456,44.66864967346192,5808,True,small,1440,small_seed42_s21
ga_sa,small_seed42,22,552277686.7837336,3.369528549901049,56.4843758197804,17821.311832720072,491.17381517409456,51.5517156124115,6591,True,small,1440,small_seed42_s22
ga_sa,small_seed42,23,552277686.7837336,3.369528549901049,56.4843758197804,17821.311832720072,491.17381517409456,85.73504161834717,7594,True,small,1440,small_seed42_s23
