algorithm,n_evaluations,mean_norm_z,std_norm_z,n_runs
sa,256.0377358490566,0.7457279775368304,0.1277397675222408,270
sa,261.6037735849057,0.7542008979635803,0.12710651417245192,270
sa,267.1698113207547,0.7636876391656993,0.12549977982158508,270
sa,272.7358490566038,0.7707222523077589,0.1215040790175844,270
sa,278.3018867924528,0.7752561583250588,0.1201360997162727,270
sa,283.8679245283019,0.7838542955908318,0.11596142796155147,270
sa,289.433962264151,0.789148300714601,0.11559303504838268,270
sa,295.0,0.794354031908588,0.11384332235057072,270
sa,300.5660377358491,0.7991748933495049,0.11247522235690566,270
sa,306.13207547169816,0.8033667531767519,0.11141341930221556,270
sa,311.6981132075472,0.8087162559524914,0.10942132418747591,270
sa,317.26415094339626,0.8159081245013053,0.10611409231958593,270
sa,322.8301886792453,0.8219073369930138,0.10072936749180318,270
sa,328.39622641509436,0.8255729150002656,0.10044398942515845,270
sa,333.96226415094344,0.8316347419189167,0.09695965533253406,270
sa,339.52830188679246,0.8347693116292737,0.09712819967713725,270
sa,345.09433962264154,0.8408665985415542,0.0937217459124301,270
sa,350.66037735849056,0.8437506403575326,0.09209627454468591,270
sa,356.22641509433964,0.8471867477741799,0.09008582832128444,270
sa,361.7924528301887,0.8528536326815084,0.08745609561786885,270
sa,367.35849056603774,0.8583912916284494,0.0843322784349353,270
sa,372.9245283018868,0.8615740698873993,0.08300149887978626,270
sa,378.49056603773585,0.8659635790526904,0.08025392294547638,270
sa,384.0566037735849,0.8685282665441282,0.07928146014588752,270
sa,389.622641509434,0.8713008501693161,0.07857394916804612,270
sa,395.188679245283,0.8766843778796645,0.07544815748628447,270
sa,400.7547169811321,0.8786944114986798,0.07461651608037041,270
sa,406.3207547169811,0.881224290003917,0.07377060632437188,270
sa,411.8867924528302,0.8855542129435309,0.07188231599137214,270
sa,417.4528301886793,0.8888552606560574,0.07078966991873492,270
sa,423.0188679245283,0.8937404250295269,0.0670495662322956,270
sa,428.5849056603774,0.8947897968325563,0.06656241094562547,270
sa,434.15094339622647,0.8981145092237975,0.06434566650186929,270
sa,439.7169811320755,0.8995097029795547,0.06377096402442226,270
sa,445.28301886792457,0.901804998810169,0.06357364460152304,270
sa,450.8490566037736,0.9060911771308003,0.06081834796043684,270
sa,456.41509433962267,0.9091731884978008,0.05969683665559531,270
sa,461.98113207547175,0.9127903251934031,0.05820057034643043,270
sa,467.54716981132077,0.9156131808287687,0.057640446121033945,270
sa,473.11320754716985,0.9170655500881062,0.0577289096977966,270
sa,478.6792452830189,0.9181488153022326,0.05771368878039547,270
sa,484.24528301886795,0.9202260048881721,0.057408834218112555,270
sa,489.81132075471703,0.9208532141305892,0.057060130343971435,270
sa,495.37735849056605,0.9229651896831821,0.05568314608176307,270
sa,500.94339622641513,0.9252993594519258,0.05473217695259999,270
sa,506.50943396226415,0.9281901833892781,0.05348345880585813,270
sa,512.0754716981132,0.9304294403839232,0.053774364478039446,270
sa,517.6415094339623,0.9336888051469114,0.05250095100112127,270
sa,523.2075471698114,0.9357275675186221,0.05128163124909791,270
sa,528.7735849056604,0.9381256139018482,0.05118350428611173,270
sa,534.3396226415094,0.9433201591933736,0.04717969103831294,270
sa,539.9056603773586,0.9464450664845288,0.044486325868246905,270
sa,545.4716981132076,0.9494556201630177,0.04122204031872983,270
sa,551.0377358490566,0.950334903070266,0.04038893251194744,270
sa,556.6037735849056,0.9515825384410094,0.03962776906282228,270
